,Criminal Offenses - On-campus Student Housing Facilities,,,,,,,,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
1,2005,197869,Appalachian State University,1,Main Campus,14653,0,0,6,0,0,0,9,0,2,17
2,2005,198464,East Carolina University,1,East Carolina University,23164,0,0,2,0,0,1,19,0,2,24
3,2005,198507,Elizabeth City State University,1,Elizabeth City State University,2664,0,0,0,0,0,0,0,0,0,0
4,2005,198543,Fayetteville State University,1,Fayetteville State University,6072,0,0,0,0,0,0,1,4,0,5
5,2005,199102,North Carolina A & T State University,1,North Carolina A&T State University,11103,0,0,3,0,11,11,51,4,3,83
6,2005,199157,North Carolina Central University,1,North Carolina Central University,8219,0,0,1,0,1,4,15,0,1,22
7,2005,199193,North Carolina State University at Raleigh,1,Main Campus,30148,0,0,5,0,2,2,6,0,1,16
8,2005,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3499,0,0,0,0,0,0,3,0,1,4
9,2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,0,0,10,0,1,1,5,0,0,17
10,2005,199139,University of North Carolina at Charlotte,1,Main Campus,20772,0,0,4,0,0,4,30,0,1,39
11,2005,199148,University of North Carolina at Greensboro,1,Main Campus,16147,0,0,1,0,0,2,18,0,0,21
12,2005,199281,University of North Carolina at Pembroke,1,Main Campus,5632,0,0,0,0,2,1,12,0,0,15
13,2005,199184,University of North Carolina School of the Arts,1,Main Campus,829,0,0,0,0,0,0,10,0,0,10
14,2005,199218,University of North Carolina Wilmington,1,Main Campus,11839,0,0,7,0,0,0,23,0,0,30
15,2005,200004,Western Carolina University,1,Main Campus,8665,0,0,0,0,0,7,17,0,3,27
16,2005,199999,Winston-Salem State University,1,WSSU Main Campus,5566,0,0,1,0,0,0,3,0,0,4
17,2006,197869,Appalachian State University,1,Main Campus,15117,0,0,0,0,0,1,19,0,9,29
18,2006,198464,East Carolina University,1,East Carolina University,24351,0,0,4,0,1,0,27,0,1,33
19,2006,198507,Elizabeth City State University,1,Elizabeth City State University,2681,0,0,0,0,1,8,7,0,0,16
20,2006,198543,Fayetteville State University,1,Fayetteville State University,6301,0,0,0,0,0,1,2,0,0,3
21,2006,199102,North Carolina A & T State University,1,North Carolina A&T State University,11098,0,0,0,0,8,0,21,0,1,30
22,2006,199157,North Carolina Central University,1,North Carolina Central University,8675,0,0,2,0,1,3,30,0,0,36
23,2006,199193,North Carolina State University at Raleigh,1,Main Campus,31130,0,0,3,0,0,3,9,2,1,18
24,2006,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3639,0,0,0,0,0,1,12,0,0,13
25,2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,0,8,0,0,1,2,0,0,11
26,2006,199139,University of North Carolina at Charlotte,1,Main Campus,21519,0,0,0,0,0,1,22,0,1,24
27,2006,199148,University of North Carolina at Greensboro,1,Main Campus,16872,0,0,3,0,0,1,23,1,1,29
28,2006,199281,University of North Carolina at Pembroke,1,Main Campus,5827,0,0,0,0,0,0,15,0,0,15
29,2006,199184,University of North Carolina School of the Arts,1,Main Campus,845,0,0,0,0,1,0,8,0,0,9
30,2006,199218,University of North Carolina Wilmington,1,Main Campus,12098,0,0,1,0,0,1,27,0,2,31
31,2006,200004,Western Carolina University,1,Main Campus,8861,0,0,5,0,0,0,7,0,2,14
32,2006,199999,Winston-Salem State University,1,WSSU Main Campus,5650,0,0,1,0,0,1,10,0,0,12
33,2007,197869,Appalachian State University,1,Main Campus,15871,0,0,1,0,0,0,20,0,0,21
34,2007,198464,East Carolina University,1,East Carolina University,25990,0,0,1,0,0,2,19,0,0,22
35,2007,198507,Elizabeth City State University,1,Elizabeth City State University,3061,0,0,0,0,0,7,37,0,0,44
36,2007,198543,Fayetteville State University,1,Fayetteville State University,6692,0,0,2,0,0,0,5,0,0,7
37,2007,199102,North Carolina A & T State University,1,North Carolina A&T State University,10498,0,0,1,0,2,6,50,0,1,60
38,2007,199157,North Carolina Central University,1,North Carolina Central University,8383,0,0,2,0,0,3,18,0,0,23
39,2007,199193,North Carolina State University at Raleigh,1,Main Campus,31802,0,0,3,0,2,3,12,0,0,20
40,2007,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3701,0,0,0,0,0,0,3,0,0,3
41,2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,0,5,0,0,0,3,0,0,8
42,2007,199139,University of North Carolina at Charlotte,1,Main Campus,22388,0,0,1,0,0,0,7,0,0,8
43,2007,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0,0,0,2,18,1,1,22
44,2007,199281,University of North Carolina at Pembroke,1,Main Campus,5937,0,0,0,0,1,0,6,0,0,7
45,2007,199184,University of North Carolina School of the Arts,1,Main Campus,867,0,0,0,0,0,0,8,0,0,8
46,2007,199218,University of North Carolina Wilmington,1,Main Campus,12180,0,0,2,0,0,0,29,0,1,32
47,2007,200004,Western Carolina University,1,Main Campus,9056,0,0,1,0,0,0,18,0,0,19
48,2007,199999,Winston-Salem State University,1,WSSU Main Campus,5870,0,0,0,0,0,0,4,0,0,4
49,2008,197869,Appalachian State University,1,Main Campus,16610,0,0,1,0,0,0,15,0,0,16
50,2008,198464,East Carolina University,1,East Carolina University,27677,0,0,3,0,0,1,22,0,0,26
51,2008,198507,Elizabeth City State University,1,Elizabeth City State University,3104,0,0,0,0,3,2,12,0,0,17
52,2008,198543,Fayetteville State University,1,Fayetteville State University,6217,0,0,0,0,0,0,34,0,0,34
